motivacion,conatos,incendios,causantes_identificados,ha_arbolada,ha_no_arbolada_lenosa,ha_herbacea,ha_total_forestal,siniestros_total
TOTALES,41192,27905,1372,170350.32,369170.91,57516.12,597037.35,69097
Provocados por campesinos para eliminar matorral y residuos agrícolas,13448,6193,419,24786.55,63690.44,6394.0,94870.99,19641
Provocados por pastores y ganaderos para regenerar el pasto,5190,10373,164,16930.66,134796.93,24137.02,175864.61,15563
Otras motivaciones,3131,1194,99,20615.34,23204.77,4484.65,48304.76,4325
Provocados por pirómanos,2820,901,195,23719.3,12382.92,956.98,37059.2,3721
Vandalismo,2841,849,95,4849.69,5673.0,1337.41,11860.1,3690
Provocados por cazadores para facilitar la caza,634,1065,29,3273.75,21702.81,2850.67,27827.23,1699
Provocados por venganzas,612,488,32,10898.62,9805.94,3924.16,24628.72,1100
"Provocados para ahuyentar animales (lobos, jabalíes)",495,475,17,1620.87,7283.8,509.03,9413.7,970
Provocados contra el acotamiento de la caza,72,137,4,652.65,3193.67,1039.09,4885.41,209
Para obtener modificación en el uso del suelo,140,52,6,126.3,238.87,79.34,444.51,192
Animadversión contra repoblaciones forestales,74,56,3,299.21,436.73,31.37,767.31,130
"Provocados por delincuentes, etc. para distraer a la G. Civil o Policía",105,24,3,90.25,254.84,56.46,401.55,129
Disensiones en cuanto a la titularidad de los montes públicos o,67,49,3,410.41,269.63,6.04,686.08,116
Para favorecer la producción de productos del monte,50,36,2,27.28,221.46,24.74,273.48,86
Rechazo a la creación o existencia de espacios naturales protegidos,43,39,1,95.38,429.28,113.72,638.38,82
Para contemplar las labores de extinción,41,11,4,14.63,27.73,15.93,58.29,52
Venganzas por multas impuestas,20,20,1,26.31,78.62,150.68,255.61,40
Obtener salarios en la extinción de los mismos o en la restauración,23,12,1,126.97,106.19,11.47,244.63,35
Resentimiento por expropiaciones,23,9,0,17.01,32.96,4.16,54.13,32
Para hacer bajar el precio de la madera,15,7,3,58.99,40.88,0.0,99.87,22
Ritos pseudoreligiosos y satanismo,18,1,2,3.62,0.15,0.03,3.8,19
Provocados por grupos políticos para crear malestar social,12,7,0,21.92,8.43,4.24,34.59,19
Represalia al reducirse las inversiones públicas en los montes,8,3,0,1301.18,1408.92,172.33,2882.43,11
Forzar resoluciones de consorcios o convenios,3,3,0,0.8,4.01,6.3,11.11,6
