categoria,siniestros_cierta,siniestros_supuesta,siniestros_total,ha_total_forestal
TOTAL NELIGENCIAS Y CAUSAS ACCIDENTALES,20953,15856,36809,283370.13
Quema agrícola,4165,2907,7072,25985.17
Quemas para el control de la vegetación,3119,2836,5955,12306.36
Otras actividades y usos del monte,2117,2222,4339,52512.57
Motores y máquinas,3160,1153,4313,88368.19
Quemas ganaderas,1821,1843,3664,17783.24
Sin especificar,1777,1836,3613,9608.61
Fumadores,811,1981,2792,30627.64
De restos de poda,1655,608,2263,13747.28
Líneas eléctricas,1761,493,2254,24311.45
Eliminación de basuras y restos,1204,1046,2250,8274.19
Otro tipo de motores o maquinaria (Sin especificar),1455,608,2063,55366.34
Trabajos forestales,1492,500,1992,6348.81
Otras causas no intencionales (conocidas),826,768,1594,28532.6
Otros incendios por quema de basuras (conocidas),785,771,1556,7001.19
Hogueras,874,652,1526,5161.98
"Quema de control de vegetación en lindes y bordes de
fincas",655,544,1199,1559.89
De rastrojos,733,463,1196,2629.28
Otras causas no intencionales (sin determinar),502,669,1171,12325.34
Quemas de matorral,626,519,1145,4742.48
Maquinaria (cosechadoras),865,212,1077,24073.15
"Gamberradas, juegos de niños (quema de pelusa de chopo,
etc)",439,601,1040,1366.49
Escapes de vehículos (ligeros y pesados),515,286,801,6062.97
"Quema de control de vegetación en infraestructuras de
riego",322,349,671,687.45
Escape de vertedero,334,229,563,824.71
Ferrocarril,349,201,550,2374.14
Quemas de herbáceas,195,209,404,962.71
"Fuegos artificiales (petardos, cohetes, etc)",245,137,382,4676.01
Accidentes de vehículos,325,47,372,2865.73
Quema de control de vegetación de accesos,155,168,323,762.73
Apicultura,92,46,138,5608.59
Quemas de restos de poda o jadinería en urbanizaciones,85,46,131,448.29
Quema de control de vegetación próxima a edificaciones,53,54,107,221.09
Actividades militares,80,22,102,9316.39
Quemas de vegetación para el control de animales nocivos,11,29,40,197.85
Globos aerostáticos,13,1,14,3.54
