ano,grupo,num_incendios,ha_total
1968,Causa descoñecida,24,212.2
1968,Intencionado,16,830.1
1968,Negligencias e accidentes,34,3375.8
1968,Rayo,4,25.4
1969,Causa descoñecida,33,390.1
1969,Intencionado,22,591.5
1969,Negligencias e accidentes,37,385.8
1969,Rayo,1,0.4
1970,Causa descoñecida,37,846.2
1970,Intencionado,64,1777.1
1970,Negligencias e accidentes,124,4618.2
1970,Rayo,14,57.3
1971,Causa descoñecida,35,514.6
1971,Intencionado,39,579.0
1971,Negligencias e accidentes,34,1254.1
1971,Rayo,6,11.6
1972,Causa descoñecida,18,443.1
1972,Intencionado,83,4533.2
1972,Negligencias e accidentes,91,2950.5
1972,Rayo,4,17.0
1973,Causa descoñecida,21,411.0
1973,Intencionado,116,4202.3
1973,Negligencias e accidentes,77,1867.2
1973,Rayo,13,81.9
1974,Causa descoñecida,107,5611.9
1974,Intencionado,215,9590.1
1974,Negligencias e accidentes,44,2204.3
1974,Rayo,4,81.4
1975,Causa descoñecida,45,1743.9
1975,Intencionado,204,16970.7
1975,Negligencias e accidentes,25,1128.1
1975,Rayo,8,46.3
1976,Causa descoñecida,98,5922.4
1976,Intencionado,142,9368.0
1976,Negligencias e accidentes,22,1601.8
1976,Rayo,47,1395.0
1977,Causa descoñecida,21,429.8
1977,Intencionado,47,613.5
1977,Negligencias e accidentes,18,263.5
1977,Rayo,3,2.4
1978,Causa descoñecida,101,10298.6
1978,Intencionado,375,24677.6
1978,Negligencias e accidentes,41,2471.2
1979,Causa descoñecida,215,7033.4
1979,Intencionado,389,16176.1
1979,Negligencias e accidentes,33,645.3
1979,Rayo,3,42.0
1980,Causa descoñecida,115,1859.6
1980,Intencionado,292,6428.0
1980,Negligencias e accidentes,30,826.3
1980,Rayo,2,1.6
1981,Causa descoñecida,205,4451.2
1981,Intencionado,427,20331.6
1981,Negligencias e accidentes,34,722.7
1981,Rayo,10,8.2
1982,Causa descoñecida,83,2852.7
1982,Intencionado,294,9650.4
1982,Negligencias e accidentes,20,285.0
1982,Rayo,4,10.3
1983,Causa descoñecida,34,406.3
1983,Intencionado,131,1558.0
1983,Negligencias e accidentes,12,353.9
1983,Rayo,5,1.1
