grupo_motivacion,motivacion,num_incendios,ha_total
Intencionado sen motivación recoñecida,Intencionado sen motivación recoñecida,31890,301259.36
Prácticas agrícolas e gandeiras,Quemas agrícolas que se descontrolan,17394,81530.05
Prácticas agrícolas e gandeiras,Quemas gandeiras que se descontrolan,9392,55555.27
Caza,Para facilitar ou favorecer a caza,1595,15152.31
Outras motivacións,Outras motivacións intencionadas,865,3356.05
Vandalismo,Vandalismo,834,11674.96
Prácticas agrícolas e gandeiras,Outras quemas agro-gandeiras,790,3635.25
Piromanía,Outras condutas asociadas a piromanía,669,16502.33
Desacordos e protestas,Crear malestar e alarma social,396,4988.61
Vinganzas e disputas,Vinganzas persoais,249,1363.34
Desacordos e protestas,Animadversión contra repoboacións,62,554.19
Prácticas agrícolas e gandeiras,Manter o monte libre de vexetación (paisaxe tradicional),52,102.48
Propiedade,Disputas pola titularidade dos montes,41,671.6
Desacordos e protestas,Rechazo a Espazos Naturais Protexidos,40,763.74
Propiedade,Modificación do uso do solo,32,318.19
Propiedade,Eliminar vexetación forestal en lindes,20,17.39
Vinganzas e disputas,Resentimento contra expropiacións,19,22.4
Caza,Conflitos cinexéticos,16,250.52
Beneficio económico,"Favorecer produtos do monte (setas, esp.)",10,16.53
Beneficio económico,Modificar o prezo da madeira,10,5.16
Piromanía,Pirómanos,9,0.84
Vinganzas e disputas,Represalia por reducir inversións nos montes,7,6.89
Prácticas agrícolas e gandeiras,Eliminar vexetación de montes en explotación,4,1.82
Beneficio económico,Forzar resolución de Consorcios,3,2.51
Beneficio económico,Salarios na extinción ou restauración,3,4.06
Forzas de orde público,Distraer á Garda Civil ou Policía,2,0.11
Vinganzas e disputas,Represalia por multas,2,0.16
