ano,provincia,distrito,num_incendios,ha_arborada,ha_rasa,ha_total
2018,A Coruña,BARBANZA,75,56.88,13.19,70.07
2018,A Coruña,BERGANTIÑOS-MARIÑAS CORUÑESAS,89,19.57,16.3,35.87
2018,A Coruña,FERROL,48,14.63,60.82,75.45
2018,A Coruña,FISTERRA,56,47.71,76.52,124.23
2018,A Coruña,SANTIAGO-MESETA INTERIOR,81,26.87,33.7,60.57
2018,Lugo,A MARIÑA LUCENSE,13,3.0,3.74,6.74
2018,Lugo,FONSAGRADA-OS ANCARES,26,12.22,88.54,100.76
2018,Lugo,LUGO-SARRIA,73,27.04,79.88,106.92
2018,Lugo,TERRA CHA,32,3.7,75.74,79.44
2018,Lugo,TERRA DE LEMOS,51,14.93,131.44,146.37
2018,Ourense,A LIMIA,69,49.34,104.71,154.05
2018,Ourense,MIÑO-ARNOIA,84,53.45,164.38,217.83
2018,Ourense,O RIBEIRO-ARENTEIRO,66,53.36,35.63,88.99
2018,Ourense,VALDEORRAS-TRIVES,80,18.85,108.39,127.24
2018,Ourense,VERIN-VIANA,166,97.53,635.49,733.02
2018,Pontevedra,CALDAS-O SALNES,115,51.26,9.21,60.47
2018,Pontevedra,DEZA-TABEIROS,61,37.74,117.14,154.88
2018,Pontevedra,O CONDADO-A PARADANTA,59,106.47,111.29,217.76
2018,Pontevedra,VIGO-BAIXO MIÑO,94,30.46,8.54,39.0
2019,A Coruña,BARBANZA,126,1399.52,443.4,1842.92
2019,A Coruña,BERGANTIÑOS-MARIÑAS CORUÑESAS,127,66.19,49.96,116.15
2019,A Coruña,FERROL,45,31.87,67.52,99.39
2019,A Coruña,FISTERRA,55,218.97,113.07,332.04
2019,A Coruña,SANTIAGO-MESETA INTERIOR,68,59.05,28.74,87.79
2019,Lugo,A MARIÑA LUCENSE,24,28.65,3.15,31.8
2019,Lugo,FONSAGRADA-OS ANCARES,39,5.45,36.23,41.68
2019,Lugo,LUGO-SARRIA,56,66.35,89.18,155.53
2019,Lugo,TERRA CHA,48,38.19,125.57,163.76
2019,Lugo,TERRA DE LEMOS,89,331.28,556.16,887.44
2019,Ourense,A LIMIA,125,63.16,270.27,333.43
2019,Ourense,MIÑO-ARNOIA,86,97.29,208.08,305.37
2019,Ourense,O RIBEIRO-ARENTEIRO,60,110.05,22.55,132.6
2019,Ourense,VALDEORRAS-TRIVES,138,29.93,591.28,621.21
2019,Ourense,VERIN-VIANA,239,325.93,912.68,1238.61
2019,Pontevedra,CALDAS-O SALNES,112,63.99,17.5,81.49
2019,Pontevedra,DEZA-TABEIROS,70,36.51,225.73,262.24
2019,Pontevedra,O CONDADO-A PARADANTA,61,45.35,23.16,68.51
2019,Pontevedra,VIGO-BAIXO MIÑO,85,29.22,4.35,33.57
2020,A Coruña,BARBANZA,119,187.4,240.6,428.0
2020,A Coruña,BERGANTIÑOS-MARIÑAS CORUÑESAS,101,44.93,100.39,145.32
2020,A Coruña,FERROL,47,9.39,32.86,42.25
2020,A Coruña,FISTERRA,42,62.56,105.72,168.28
2020,A Coruña,SANTIAGO-MESETA INTERIOR,48,72.17,27.62,99.79
2020,Lugo,A MARIÑA LUCENSE,18,3.16,6.14,9.3
2020,Lugo,FONSAGRADA-OS ANCARES,34,73.88,36.12,110.0
2020,Lugo,LUGO-SARRIA,70,15.41,41.53,56.94
2020,Lugo,TERRA CHA,37,14.38,15.62,30.0
2020,Lugo,TERRA DE LEMOS,57,97.91,118.15,216.06
2020,Ourense,A LIMIA,120,383.86,3431.55,3815.41
2020,Ourense,MIÑO-ARNOIA,111,158.24,437.45,595.69
2020,Ourense,O RIBEIRO-ARENTEIRO,38,3.36,12.0,15.36
2020,Ourense,VALDEORRAS-TRIVES,141,109.12,2470.6,2579.72
2020,Ourense,VERIN-VIANA,184,522.21,5555.81,6078.02
2020,Pontevedra,CALDAS-O SALNES,130,90.54,112.82,203.36
2020,Pontevedra,DEZA-TABEIROS,56,16.35,100.5,116.85
2020,Pontevedra,O CONDADO-A PARADANTA,64,85.1,16.67,101.77
2020,Pontevedra,VIGO-BAIXO MIÑO,110,9.09,2.71,11.8
2021,A Coruña,BARBANZA,62,73.88,22.22,96.1
2021,A Coruña,BERGANTIÑOS-MARIÑAS CORUÑESAS,65,76.09,97.22,173.31
2021,A Coruña,FERROL,27,10.51,48.24,58.75
2021,A Coruña,FISTERRA,19,4.2,9.96,14.16
2021,A Coruña,SANTIAGO-MESETA INTERIOR,44,25.11,34.06,59.17
2021,Lugo,A MARIÑA LUCENSE,10,1.15,1.73,2.88
2021,Lugo,FONSAGRADA-OS ANCARES,27,16.71,97.53,114.24
2021,Lugo,LUGO-SARRIA,51,8.2,15.15,23.35
2021,Lugo,TERRA CHA,21,4.23,1.43,5.66
2021,Lugo,TERRA DE LEMOS,44,1409.17,872.22,2281.39
2021,Ourense,A LIMIA,63,45.48,68.24,113.72
2021,Ourense,MIÑO-ARNOIA,61,5.29,35.3,40.59
2021,Ourense,O RIBEIRO-ARENTEIRO,41,1.71,16.63,18.34
2021,Ourense,VALDEORRAS-TRIVES,69,237.64,372.36,610.0
2021,Ourense,VERIN-VIANA,142,14.21,178.35,192.56
2021,Pontevedra,CALDAS-O SALNES,62,66.43,72.33,138.76
2021,Pontevedra,DEZA-TABEIROS,30,43.73,168.09,211.82
2021,Pontevedra,O CONDADO-A PARADANTA,50,221.32,11.93,233.25
2021,Pontevedra,VIGO-BAIXO MIÑO,62,5.01,10.12,15.13
2022,A Coruña,BARBANZA,88,746.8,1471.37,2218.17
2022,A Coruña,BERGANTIÑOS-MARIÑAS CORUÑESAS,104,21.92,23.53,45.45
2022,A Coruña,FERROL,49,95.39,151.73,247.12
2022,A Coruña,FISTERRA,39,44.55,62.76,107.31
2022,A Coruña,SANTIAGO-MESETA INTERIOR,69,59.35,16.7,76.05
2022,Lugo,A MARIÑA LUCENSE,22,7.06,31.45,38.51
2022,Lugo,FONSAGRADA-OS ANCARES,39,99.95,299.17,399.12
2022,Lugo,LUGO-SARRIA,65,224.49,352.63,577.12
2022,Lugo,TERRA CHA,67,46.95,27.88,74.83
2022,Lugo,TERRA DE LEMOS,84,5583.68,7828.06,13411.74
2022,Ourense,A LIMIA,104,223.95,979.78,1203.73
2022,Ourense,MIÑO-ARNOIA,118,37.13,231.91,269.04
2022,Ourense,O RIBEIRO-ARENTEIRO,108,913.98,427.22,1341.2
2022,Ourense,VALDEORRAS-TRIVES,99,3174.07,10895.71,14069.78
2022,Ourense,VERIN-VIANA,207,3761.49,11434.28,15195.77
2022,Pontevedra,CALDAS-O SALNES,131,917.75,139.83,1057.58
2022,Pontevedra,DEZA-TABEIROS,66,208.93,299.39,508.32
2022,Pontevedra,O CONDADO-A PARADANTA,125,522.02,198.85,720.87
2022,Pontevedra,VIGO-BAIXO MIÑO,129,76.68,4.19,80.87
2023,A Coruña,BARBANZA,44,4.79,3.12,7.91
2023,A Coruña,BERGANTIÑOS-MARIÑAS CORUÑESAS,78,28.86,27.5,56.36
2023,A Coruña,FERROL,29,20.27,48.67,68.94
2023,A Coruña,FISTERRA,20,23.47,108.52,131.99
2023,A Coruña,SANTIAGO-MESETA INTERIOR,22,11.4,23.27,34.67
